subset,views,depth_abs_rel,depth_rmse,depth_delta1,camera_ate_rmse_m,relative_translation_rmse_m,rotation_mean_deg,confidence_error_spearman,inference_seconds,peak_allocated_gib
S2,2,0.031425852328538895,2.1830403804779053,0.9778295022542763,3.9557781533026204e-17,2.7755575615628914e-17,0.08940096567751284,-0.6413585525636442,0.5451788000009401,5.147073268890381
S4,4,0.035527803003787994,2.6346986293792725,0.9722199428232415,0.002134697087035768,0.0029752832175902674,0.36131883045438673,-0.46725516678407647,0.35079810000024736,5.683222770690918
S6,6,0.03732944279909134,3.7895095348358154,0.9662829890170362,0.004310832124717187,0.003903932039712371,0.601117692666583,-0.5462022642906811,0.5477718000001914,6.351597785949707
S8,8,0.05287453904747963,4.458154201507568,0.956379881587202,0.003832983834316624,0.002037038594876877,0.7000783274189293,-0.4649171087498972,0.7845316999992065,7.020460605621338
S10,10,0.06894388049840927,4.259225368499756,0.9491225400123986,0.011786758202155143,0.0085090261709637,0.7671345076550822,0.06620494523844477,1.0733836999988853,7.112395763397217
