subset,views,depth_abs_rel,depth_rmse,depth_delta1,camera_ate_rmse_m,relative_translation_rmse_m,rotation_mean_deg,confidence_error_spearman,inference_seconds,peak_allocated_gib
S2,2,0.04011264443397522,2.107429027557373,0.9685849010487367,2.4532694666933986e-17,2.7755575615628914e-17,0.12168515643189759,-0.1668165494874604,0.566559299999426,5.147073268890381
S4,4,0.04329738765954971,2.5649044513702393,0.9630944869041455,0.002411087628162652,0.0033712744892342088,0.37396678624551793,-0.26513754897336417,0.3542350000006991,5.683222770690918
S6,6,0.06404398381710052,3.6773016452789307,0.9359479971568111,0.004413114334739666,0.003983223708241248,0.6190557343104385,-0.41743304787319224,0.5537880000010773,6.351597785949707
S8,8,0.08953479677438736,4.436395168304443,0.8980669698870766,0.004007589861863987,0.002143869173424453,0.7119070931220343,-0.364347915085054,0.795101199999408,7.020460605621338
S10,10,0.1279200166463852,4.224778652191162,0.8485198241255281,0.012063066435837516,0.008766673296837411,0.772915887289796,-0.09526519727730341,1.0778960999996343,7.112395763397217
