view_count,delivery_area_subset,courtyard_subset,delivery_area_inference_seconds,courtyard_inference_seconds,delivery_area_total_seconds,courtyard_total_seconds,delivery_area_peak_allocated_gib,courtyard_peak_allocated_gib,delivery_area_peak_reserved_gib,courtyard_peak_reserved_gib,delivery_area_depth_confidence_mean,courtyard_depth_confidence_mean,delivery_area_depth_confidence_median,courtyard_depth_confidence_median,delivery_area_point_confidence_mean,courtyard_point_confidence_mean,delivery_area_point_confidence_median,courtyard_point_confidence_median,delivery_area_retained_points,courtyard_retained_points,delivery_area_retained_percentage,courtyard_retained_percentage,delivery_area_camera_path_length,courtyard_camera_path_length,delivery_area_max_camera_separation,courtyard_max_camera_separation
2,S2,S2,0.9057333999953698,0.8761090000043623,3.2077323999837972,4.5104633000155445,5.260654926300049,5.260654926300049,5.8828125,5.8828125,1.915853500366211,2.31949520111084,1.5185744762420654,2.5156617164611816,2.443023681640625,3.0338492393493652,2.3892197608947754,2.930795907974243,181300,181300,50.0,50.0,0.5340056322310633,0.7996507287025452,0.5340056322310633,0.7996507287025452
4,S4,S4,0.9713472999865189,0.7126477000128943,7.807936700002756,7.613523400010308,5.630694389343262,5.630694389343262,7.0234375,7.0234375,3.6089794635772705,5.162418365478516,3.9486148357391357,5.409701824188232,3.710679054260254,4.907787322998047,3.3904006481170654,4.874146938323975,362600,362600,50.0,50.0,0.7414610385894775,0.8940362334251404,0.7413774728775024,0.8930957317352295
6,S6,S6,0.8526547999936156,0.7267834999947809,10.711981900007231,10.858252400008496,6.084004878997803,6.084004878997803,8.07421875,8.07421875,4.196420192718506,6.535170555114746,4.528021812438965,6.832276821136475,4.242224216461182,5.590731620788574,3.892235279083252,5.487844944000244,543900,543900,50.0,50.0,0.7702044248580933,0.9420779943466187,0.770003080368042,0.9406404495239258
8,S8,S8,0.8974892000260297,0.9742978000140283,13.899572599999374,14.496255199977895,6.5353288650512695,6.5353288650512695,9.166015625,9.166015625,3.963510274887085,8.374059677124023,4.096645355224609,8.738744735717773,3.996049642562866,6.297546863555908,3.5825722217559814,6.158291816711426,725200,725199,50.0,49.99993105350248,0.8310761451721191,0.9272533655166626,0.8307296633720398,0.9258165955543518
10,S10,S10,1.1417804000084288,1.0546216999937315,17.386305399995763,18.64503759998479,6.598845958709717,6.598845958709717,9.23046875,9.23046875,5.017334938049316,8.011746406555176,5.551991939544678,8.372310638427734,4.476539611816406,6.151158332824707,3.796015501022339,6.018739223480225,906499,906499,49.99994484280199,49.99994484280199,0.7476027011871338,0.9190981388092041,0.7472065687179565,0.9173781275749207
