subset,depth_confidence_mean,depth_confidence_median,point_confidence_mean,point_confidence_median,retained_points,camera_path_length,maximum_camera_separation
S2,2.31949520111084,2.5156617164611816,3.0338492393493652,2.930795907974243,181300,0.7996507287025452,0.7996507287025452
S4,5.162418365478516,5.409701824188232,4.907787322998047,4.874146938323975,362600,0.8940362334251404,0.8930957317352295
S6,6.535170555114746,6.832276821136475,5.590731620788574,5.487844944000244,543900,0.9420779943466187,0.9406404495239258
S8,8.374059677124023,8.738744735717773,6.297546863555908,6.158291816711426,725199,0.9272533655166626,0.9258165955543518
S10,8.011746406555176,8.372310638427734,6.151158332824707,6.018739223480225,906499,0.9190981388092041,0.9173781275749207
