subset,depth_confidence_mean,depth_confidence_median,point_confidence_mean,point_confidence_median,retained_points,camera_path_length,maximum_camera_separation
S2,1.915853500366211,1.5185744762420654,2.443023681640625,2.3892197608947754,181300,0.5340056322310633,0.5340056322310633
S4,3.6089794635772705,3.9486148357391357,3.710679054260254,3.3904006481170654,362600,0.7414610385894775,0.7413774728775024
S6,4.196420192718506,4.528021812438965,4.242224216461182,3.892235279083252,543900,0.7702044248580933,0.770003080368042
S8,3.963510274887085,4.096645355224609,3.996049642562866,3.5825722217559814,725200,0.8310761451721191,0.8307296633720398
S10,5.017334938049316,5.551991939544678,4.476539611816406,3.796015501022339,906499,0.7476027011871338,0.7472065687179565
