subset,view_count,inference_seconds,total_seconds,peak_allocated_gib,peak_reserved_gib
S2,2,0.9057333999953698,3.2077323999837972,5.260654926300049,5.8828125
S4,4,0.9713472999865189,7.807936700002756,5.630694389343262,7.0234375
S6,6,0.8526547999936156,10.711981900007231,6.084004878997803,8.07421875
S8,8,0.8974892000260297,13.899572599999374,6.5353288650512695,9.166015625
S10,10,1.1417804000084288,17.386305399995763,6.598845958709717,9.23046875
