views,delivery_total,courtyard_total,delivery_depth,courtyard_depth,delivery_point,courtyard_point
2,3.2077323999837972,4.5104633000155445,1.915853500366211,2.31949520111084,2.443023681640625,3.0338492393493652
4,7.807936700002756,7.613523400010308,3.6089794635772705,5.162418365478516,3.710679054260254,4.907787322998047
6,10.711981900007231,10.858252400008496,4.196420192718506,6.535170555114746,4.242224216461182,5.590731620788574
8,13.899572599999374,14.496255199977895,3.963510274887085,8.374059677124023,3.996049642562866,6.297546863555908
10,17.386305399995763,18.64503759998479,5.017334938049316,8.011746406555176,4.476539611816406,6.151158332824707
